FileHeader: Filename;ID;Week;Wnum;SubWeek;WeekSubWeek;Repl;d 13C/12C
AO_W10_5-3_.dxf;AO;W10;10;5;W10-5;3;-29.82
AO-W11-1-3_.dxf;AO;W11;11;1;W11-1;3;-28.456
AO-W11-1-2_.dxf;AO;W11;11;1;W11-1;2;-28.189
AO-W11-1-1_.dxf;AO;W11;11;1;W11-1;1;-29.051
AO_W11_2-1_.dxf;AO;W11;11;2;W11-2;1;-29.54
AO_W11_2-2_.dxf;AO;W11;11;2;W11-2;2;-29.88
AO_W11_2-3_.dxf;AO;W11;11;2;W11-2;3;-29.42
AO_W11_2-1_-0005.dxf;AO;W11;11;2;W11-2;4;-30.3734
AO_W11_2-2_-0005.dxf;AO;W11;11;2;W11-2;5;-29.7254
AO_W11_3-2_-0005.dx;AO;W11;11;3;W11-3;4;-30.359
AO_W11_3-1_-0005.dxf;AO;W11;11;3;W11-3;5;-29.50467
AO-W11-3-3_.dxf;AO;W11;11;3;W11-3;3;
AO-W11-3-2_.dxf;AO;W11;11;3;W11-3;2;-29.85
AO-W11-3-1_.dxf;AO;W11;11;3;W11-3;1;
AO_W13_1-1_-0006.dxf;AO;W13;13;1;W13-1;4;-30.61742
AO_W13_1-2_-0006.dxf;AO;W13;13;1;W13-1;5;-30.81875
AO-W13-1-3_.dxf;AO;W13;13;1;W13-1;3;-30.39
AO-W13-1-2_.dxf;AO;W13;13;1;W13-1;2;
AO-W13-1-1_.dxf;AO;W13;13;1;W13-1;1;
AO_W13_2-1_-0006.dxf;AO;W13;13;2;W13-2;4;-28.8985
AO_W13_2-2_-0006.dxf;AO;W13;13;2;W13-2;5;-29.3714
AO-W13-2-3_.dxf;AO;W13;13;2;W13-2;3;-28.91
AO-W13-2-2_.dxf;AO;W13;13;2;W13-2;2;
AO-W13-2-1_.dxf;AO;W13;13;2;W13-2;1;-28.75
